,text,favorite_count,retweet_count,created_at,Target
0,"RT @eu_eeas: Russiaâ€™s illegal invasion of Ukraine has created a global food crisis, disrupting food supply chains and provoking hunger arouâ€¦",0,127,2022-05-20 13:23:27+00:00,2
1,"RT @MiriamGarciaFr: ðŸ‡ªðŸ‡º providing further support to tackle food security: 

â–¶ï¸ direct income support for farmers &amp; SMEs under rural developâ€¦",0,4,2022-05-20 13:21:53+00:00,2
2,"RT @EU_Commission: Farmers are being hit by the consequences of the Russian invasion of Ukraine.

Today, we proposed an exceptional measureâ€¦",0,52,2022-05-20 13:21:25+00:00,2
3,"@TinoushJ Hi @TinoushJ, thank you for your feedback! We'll consider updating the page in future.

For now fertiliser price is on the monthly summary published on this page: https://t.co/tDZvnJeMvm",0,0,2022-05-20 12:56:26+00:00,0
4,RT @eurireland: The @EU_Commission has proposed an exceptional measure to allow ðŸ‡ªðŸ‡ºMember States to pay a one-off lump sum to farmers and agâ€¦,0,12,2022-05-20 11:06:58+00:00,2
5,"RT @EKvSloveniji: ðŸšœNaraÅ¡ÄajoÄe cene energije, gnojil in krme so moÄno prizadele kmete.ðŸ§‘â€ðŸŒ¾

Zato smo danes predlagali ðŸ“ˆ podpore v viÅ¡ini doâ€¦",0,2,2022-05-20 11:06:51+00:00,0
6,"RT @cdeualmeria: La @EU_Commission  crea nueva ðŸŒ de #AgriData que presenta las Ãºltimas estadÃ­sticas sobre ðŸŒ¾ #cereales, ðŸŒ» #semillas oleaginoâ€¦",0,2,2022-05-20 10:57:00+00:00,0
7,"Today the ðŸ‡ªðŸ‡º Commission proposes increased support of up to â‚¬1.4 billion for EU farmers &amp; agri-food businesses affected by rising prices for energy, fertiliser &amp; feed.

This will address market disturbances &amp; contribute to global #FoodSecurity â¤µï¸",19,14,2022-05-20 10:45:30+00:00,2
8,"We launched a new #AgriData page presenting the latest stats on wheat, maize, barley, rapeseed, sunflower oil, and soya beans.

It includes production, expected and future prices and trade, as well as energy and input prices. #FoodSecurity
âž¡ï¸https://t.co/KvXBCnMTKD https://t.co/dBw1IOY79O",7,6,2022-05-20 10:20:58+00:00,0
9,"Having up-to-date information on levels of stocks of the main commodities of cereals (like wheat, maize or barley), oilseeds (rapeseed, sunflower, soya bean), and rice is essential to decide on relevant ðŸ‡ªðŸ‡º measures to prevent and mitigate market disruptions. #FoodSecurity",4,2,2022-05-20 10:16:29+00:00,0
10,"The European Commission will gather monthly data on levels of stocks of
ðŸŒ¾ cereals,
ðŸŒ» oilseeds,
ðŸš and rice
in the Member States.

This will help monitor supply in the current environment of high prices. #FoodSecurity",20,10,2022-05-20 10:14:52+00:00,2
11,"RT @EIPAGRI_SP: ðŸ’¬ ""Beekeepers are like bees. If they are together, they can work better"" ðŸ
Beekeeper Michele Valleri explains how #Operatioâ€¦",0,3,2022-05-20 09:47:13+00:00,1
12,"RT @JohnAClarkeEU: Was in ðŸ‡¿ðŸ‡¦this week - very constructive talks with DG Ramasodi and team, on a roadmap to upgrade our agri-trade relationsâ€¦",0,5,2022-05-20 09:38:53+00:00,2
13,"RT @EU_ENV: Pollinators keep our ecosystems flourishing ðŸŒºðŸŒ±ðŸŒ¾

Our food and health depend on them

This #WorldBeeDay, we invite you to a tourâ€¦",0,38,2022-05-20 08:39:46+00:00,2
14,"RT @EUClimateAction: Youâ€™d better bee-lieve it - ðŸ are awesome!
 
In Europe, ðŸ pollinate over 80% of crops &amp; wild ðŸŒ¿ 

But they're in seriouâ€¦",0,122,2022-05-20 08:14:07+00:00,0
15,"ðŸ Bees are essential to our ecosystems and our food production ðŸ #WorldBeeDay 

All info on EU apiculture: https://t.co/dBmgrjSJgK

#EUFarm2Fork #EUPollinators https://t.co/Bwrk6jcqmy",74,36,2022-05-20 08:02:12+00:00,0
16,"RT @eaAgriFood: In case you missed today's #eaAgrifood Twitter Chat on food security in light of the #Ukraine ðŸ‡ºðŸ‡¦ war, have a look at this Tâ€¦",0,2,2022-05-19 13:59:00+00:00,0
17,"RT @FarmHackNL: From geotagged photo's and AI, to Dashboards and KPI's: the @niva4cap Hack (16th &amp; 17th of June) focuses on environmental dâ€¦",0,12,2022-05-19 11:47:39+00:00,0
18,"RT @EUgreenresearch: 1âƒ£0âƒ£0âƒ£0âƒ£participants from all over theðŸŒare gathering to:
ðŸ”¹DiscussðŸ’¡to apply to the #EUMissions calls
ðŸ”¹Join #HorizonEU câ€¦",0,13,,2
19,RT @eaAgriFood: Q1. Ensuring food security has become the key focus since the breakout of war in #Ukraine ðŸ‡ºðŸ‡¦. Has the #EU ðŸ‡ªðŸ‡º response to daâ€¦,0,5,2022-05-19 10:53:41+00:00,0
20,"RT @eaAgriFood: Welcome to this #eaAgrifood Twitter Chat! ðŸšœðŸŒ± 

Today's discussion will tackle food security in light of the #Ukraine ðŸ‡ºðŸ‡¦ warâ€¦",0,6,2022-05-19 10:53:31+00:00,0
21,"RT @PoliRural_H2020: ðŸ‘ How can we improve #RuralAreas communities? 

ðŸ“¢ Join the discussion on #RuralVisionEU and participate on #RuralPactâ€¦",0,7,2022-05-19 09:47:44+00:00,0
